127.0.0.1 - - [06/Jul/2022:09:39:13 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [06/Jul/2022:17:23:06 +0900] "GET /ScriptTest/4.project/main-2.html HTTP/1.1" 200 4337
0:0:0:0:0:0:0:1 - - [06/Jul/2022:17:23:06 +0900] "GET /ScriptTest/4.project/css/main.css HTTP/1.1" 200 240
0:0:0:0:0:0:0:1 - - [06/Jul/2022:17:23:06 +0900] "GET /ScriptTest/4.project/css/main-1.css HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [06/Jul/2022:17:23:06 +0900] "GET /ScriptTest/4.project/img/hd2.png HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [06/Jul/2022:17:23:06 +0900] "GET /ScriptTest/4.project/img/sc1-img2.jpg HTTP/1.1" 200 74502
0:0:0:0:0:0:0:1 - - [06/Jul/2022:17:23:06 +0900] "GET /ScriptTest/4.project/img/sc1-img3.jpg HTTP/1.1" 200 98909
0:0:0:0:0:0:0:1 - - [06/Jul/2022:17:23:06 +0900] "GET /ScriptTest/4.project/img/sc2.png HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [06/Jul/2022:17:23:06 +0900] "GET /ScriptTest/4.project/img/sc1-img1.jpg HTTP/1.1" 200 70641
0:0:0:0:0:0:0:1 - - [06/Jul/2022:17:23:06 +0900] "GET /ScriptTest/4.project/img/sc3.png HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [06/Jul/2022:17:23:06 +0900] "GET /ScriptTest/4.project/img/at1-img5.png HTTP/1.1" 200 1104
0:0:0:0:0:0:0:1 - - [06/Jul/2022:17:23:06 +0900] "GET /ScriptTest/4.project/img/at1-img2.png HTTP/1.1" 200 64743
0:0:0:0:0:0:0:1 - - [06/Jul/2022:17:23:06 +0900] "GET /ScriptTest/4.project/img/at1-img1.png HTTP/1.1" 200 47126
0:0:0:0:0:0:0:1 - - [06/Jul/2022:17:23:06 +0900] "GET /ScriptTest/4.project/img/at1-img3.png HTTP/1.1" 200 169411
0:0:0:0:0:0:0:1 - - [06/Jul/2022:17:23:06 +0900] "GET /ScriptTest/4.project/img/at1-img6.png HTTP/1.1" 200 1286
0:0:0:0:0:0:0:1 - - [06/Jul/2022:17:23:06 +0900] "GET /ScriptTest/4.project/img/at1-img7.png HTTP/1.1" 200 1314
0:0:0:0:0:0:0:1 - - [06/Jul/2022:17:23:06 +0900] "GET /ScriptTest/4.project/img/vd.png HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [06/Jul/2022:17:23:06 +0900] "GET /ScriptTest/4.project/img/at1-img8.png HTTP/1.1" 200 73952
0:0:0:0:0:0:0:1 - - [06/Jul/2022:17:23:06 +0900] "HEAD /ScriptTest/4.project/vd/main_vd.mp4 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [06/Jul/2022:17:23:07 +0900] "GET /ScriptTest/4.project/vd/main_vd.mp4 HTTP/1.1" 206 12453750
